LSOA11CD,LSOA11NM,area_num,imd2004,imd2007,imd2010,imd2015,imd2019,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,PTAL_Value_2005,PTAL_Value_2007,PTAL_Value_2015,PTAL_Value_2010,PTAL_Value_2023,PTAL_Value_2012,PTAL_Value_2014,PTAL_Value_2019,PTAL_Value_2020,PTAL_Category_2005,PTAL_Category_2007,PTAL_Category_2015,PTAL_Category_2010,PTAL_Category_2023,PTAL_Category_2012,PTAL_Category_2014,PTAL_Category_2019,PTAL_Category_2020,median_price_2014,median_price_2015,dist_to_nle_station,dist_to_bre_station,treatment,dist,ptal_baseline,imd_baseline,geometry,distance,weights,subclass
E01003372,Merton 008B,127637.33730901405,27.88,26.75,28.75,28.212,26.568,1550,1516,1615,1585,1580,1535,1512,1502,1492,1510,1678,1681,13.403726,12.514524,11.3062,9.5656,11.88705,7.751408,7.972504,13.275937,13.196708,3,3,3,2,3,2,2,3,3,318125,372100,7082.954568242743,22216.254275445826,0,7082.954568242743,7.972504,28.75,"list(list(c(527898.432999928, 527902.692000094, 527903.359000019, 527760.000000125, 527707.216999917, 527667.104000035, 527675.867000061, 527431.960999995, 527419.524000024, 527393.234, 527448.668000054, 527536.998999952, 527403.999999955, 527405.268999957, 527414.141999991, 527487.413000113, 527701.3749999, 527683.999999971, 527852.863999868, 527871.462999904, 527921.188, 527898.432999928, 170454.901000044, 170385.120999923, 170376.297000092, 170393.999999891, 170403.224000111, 170387.164999968, 
170353.454000119, 170288.607999914, 170318, 170380.76399988, 170437.667999942, 170523.999999954, 170624.999999969, 170718.973000086, 170714.789000009, 170678.632000101, 170633.641000121, 170605.609000036, 170589.150000033, 170587.131999875, 170581.750000106, 170454.901000044)))",0.026604046345764524,1,28
E01003920,Southwark 021B,86835.66003438644,52.89,46.62,39.45,40.038,32.296,1847,1881,1930,1905,1957,1974,1906,1904,1925,1919,2070,2048,20.312553,23.604375,21.9918,23.749524,23.186903,24.168787,23.886133,26.220688,26.220688,5,5,5,5,5,5,5,6a,6a,246637.5,278500,2050.9403018169405,15077.663482705519,0,2050.9403018169405,23.886133,39.45,"list(list(c(532524.782999978, 532530.20000012, 532599.999999895, 532604.525000042, 532639.13299992, 532647.983000016, 532688.174, 532662.989999952, 532584.999999944, 532549.92100012, 532508.826999859, 532509.000000113, 532435.577999858, 532341.987999914, 532326.191000077, 532303.999999973, 532305.001000049, 532227.731000085, 532201.999999942, 532184.503999941, 532116.360000115, 532132.904999938, 532078.605, 532112.563999993, 532136.630999898, 532211.033999965, 532281.361999873, 532278.999999852, 
532328.983000129, 532400.179000082, 532407.936999985, 532360.653999948, 532437.865000034, 532446.078999913, 532484.971000129, 532524.782999978, 177273.405000021, 177185.999999859, 177190.999999944, 177164.079000114, 177169.289000073, 177094.177999937, 177090.572000035, 177052.695999864, 177064.99999987, 177001.032999992, 177008.800999874, 177093.999999999, 177101.041999849, 177052.285000099, 176951.018000086, 176947.999999889, 176998.000000131, 176998.961999982, 177014.999999933, 176987.097999986, 
177034.804000067, 177077.211000068, 177074.830000085, 177102.676000147, 177116.784000103, 177118.150000038, 177177.208999947, 177244.999999889, 177256.743000134, 177272.290999872, 177244.164000083, 177220.579000101, 177168.941999871, 177282.219999884, 177293.082000111, 177273.405000021)))",0.0336424967724492,1,25
E01003930,Southwark 034A,107849.2146588713,30.21,30.46,26.99,34.514,28.921,1511,1526,1464,1470,1589,1571,1633,1828,1874,1940,1966,2121,52.263803,65.882057,98.7026,64.96,82.969945,59.233399,87.927969,103.479364,103.479364,6b,6b,6b,6b,6b,6b,6b,6b,6b,612419.5,761250,2417.581418106472,15244.329079483527,0,2417.581418106472,87.927969,26.99,"list(list(c(531862.131999994, 531844.1450001, 531775.59900008, 531829.224000039, 531827.291999969, 531799.999999944, 531835.510999878, 531815.461000044, 531837.000000126, 531740.000000009, 531737.414999924, 531657.001000122, 531591.707999892, 531453.000000006, 531512.999999942, 531499.332000029, 531531.362999887, 531565.760999891, 531647.99999993, 531680.000000073, 531662.000000093, 531602.395999973, 531552.872000055, 531572.36900003, 531578.81500005, 531652.000000014, 531652.000000014, 531810.000000022, 
531862.131999994, 179615.880000045, 179606.831000045, 179608.067000099, 179539.720000055, 179478.169999977, 179474.000000028, 179428.256999922, 179413.911999956, 179387.999999943, 179346.999999943, 179341.021000049, 179170, 179203.324000068, 179304.000000034, 179329.999999917, 179411.400000051, 179417.307999902, 179361.64400004, 179433.999999983, 179417.999999911, 179475.999999937, 179451.079000065, 179495.531000098, 179573.0289999, 179612.24699993, 179636.864999932, 179703.512, 179690.000000063, 
179615.880000045)))",0.027504837722326793,1,33
E01003940,Southwark 006B,54022.014232471585,43.27,36.21,32.4,33.675,33.392,1494,1496,1438,1462,1379,1399,1410,1386,1376,1368,1566,1569,13.211352,13.758684,31.057,13.95,26.767304,31.465787,33.296346,45.564625,45.564625,3,3,6a,3,6a,6a,6a,6b,6b,335000,357750,3387.2382097551463,14090.877108648356,0,3387.2382097551463,33.296346,32.4,"list(list(c(533008.940000029, 533042.757999952, 533039.047000007, 532996.243000076, 532949.044000008, 532956.001000031, 532925.749999959, 532930.380999953, 532898.149000042, 532866.334000024, 532835.568999934, 532796.000000047, 532792.14900002, 532900.223999994, 532893.026999928, 532949.771999988, 532967.351000012, 533044.350999986, 533029.947999999, 533069.99999998, 533008.940000029, 179341.018999934, 179303.880000049, 179262.125000043, 179286.634000007, 179257.304999989, 179305.999999967, 179306.421000045, 
179248.277000026, 179228.890000002, 179212.9, 179262.146999938, 179318.000000034, 179360.149000036, 179477.649999982, 179518.773999959, 179558.563, 179546.703000015, 179494.81199994, 179460.002999923, 179420.24599998, 179341.018999934)))",0.029330862142241478,1,21
E01003943,Southwark 009C,64221.62323282566,43.73,39.99,34.89,43.725,40.136,1374,1342,1190,1207,1211,1207,1165,1143,1118,1125,1494,1487,52.714232,56.477345,65.1941,49.3425,49.914898,57.684936,61.814463,58.822731,58.822731,6b,6b,6b,6b,6b,6b,6b,6b,6b,250000,358750,2723.8755168379894,14622.204587103493,0,2723.8755168379894,61.814463,34.89,"list(list(c(532555.708, 532473.385999957, 532459.946000108, 532432.804999948, 532417.382999953, 532363.875999987, 532419.575000031, 532394.187999985, 532341.998999934, 532321.52300001, 532279.249999984, 532102.033999933, 532104.842999983, 532089.694000022, 532062, 532110.424999882, 532202.559000112, 532226.876999899, 532341.319000107, 532379.999999932, 532447.000000041, 532535.976000012, 532555.708, 179282.056000107, 179191.841999926, 179166.291999962, 179186.517999979, 179196.934000065, 179135.833999893, 
179110.569000031, 179078.400000087, 179030.999999974, 179052.060999938, 179055.124999922, 179124.099999892, 179182.818999923, 179193.494999973, 179206.00000006, 179285.275999971, 179261.268999937, 179237.929999911, 179244.844000049, 179300.000000039, 179224.000000056, 179303.820000026, 179282.056000107)))",0.03165211127210557,1,23
E01003950,Southwark 032B,245525.561386358,43.53,43.78,39.26,36.55,27.465,1905,1906,1865,1855,1849,1942,1955,1995,1956,1949,1990,1981,9.555686,9.360144,8.68232,7.781957,9.450228,8.468641,8.682632,9.125107,9.154889,2,2,2,2,2,2,2,2,2,294000,318500,5397.777056592004,14822.680870279617,0,5397.777056592004,8.682632,39.26,"list(list(c(534453.263000077, 534526.349000103, 534553.860999823, 534428.37199997, 534375.109999849, 534487.257000114, 534524.581999857, 534416.105000018, 534353.667000144, 534360.887999931, 534283.999999857, 534251.868000112, 534305.083000089, 534353.998999996, 534375.000000022, 534395.331999845, 534404.571999894, 534331.557999935, 534146.600999826, 533944.946999831, 533826.739000177, 533982.874999966, 534081.504999906, 534084.2499998, 534132.086000002, 534064.857000106, 534251.565999823, 534322.248999947, 
534343.750000122, 534453.263000077, 173952.999000058, 173889.586999992, 173927.913999975, 173738.036000166, 173689.808999885, 173661.645999871, 173602.118999817, 173577.103000101, 173576.708000137, 173473.929999844, 173496.999999976, 173432.759000037, 173338.271999952, 173345.9999999, 173390.000000178, 173365.22099984, 173353.960000013, 173234.565999855, 173220.285999895, 173105.786, 173297.942999858, 173374.797000055, 173375.5749999, 173535.797000117, 173609.597000119, 173736.852000032, 173851.732000109, 
173924.605999821, 173962.109, 173952.999000058)))",0.03307262681169461,1,15
E01004000,Southwark 026A,158540.90909722447,37.98,34.88,36.56,34.429,27.983,1878,1976,2065,2098,2181,2163,2198,2200,2212,2183,1972,1925,13.680165,14.128054,13.3242,11.938571,11.977186,10.431185,12.611523,13.023127,13.023127,3,3,3,3,3,3,3,3,3,287500,437500,5105.703297105403,12818.114810122592,0,5105.703297105403,12.611523,36.56,"list(list(c(535382.193999972, 535479.898000078, 535454.990999958, 535504.626000195, 535482.062999926, 535617.774000121, 535581.694999971, 535529.178999873, 535370.712000101, 535318.000000191, 535299.396000198, 535299.992999896, 535275.869999851, 535254.000000026, 535164.999999912, 535137.758000204, 535263.111999973, 535280.000000171, 535192.242000033, 535154.668999972, 535208.99999987, 535000.135999879, 535081.216999966, 535051.520999943, 535085.504000197, 535139.499000181, 535164.000000129, 535257.000000202, 
535273.934999845, 535325.406000084, 535320.999999953, 535338.669000138, 535304.333000162, 535274.905999881, 535299.569999916, 535375.542999994, 535419.874999887, 535418.030000036, 535382.193999972, 176270.363000068, 176088.773999924, 176067.011000062, 175999.266999852, 175984.421999928, 175943.117000175, 175900.452999912, 175930.635000107, 175776.331999857, 175718.999, 175735.801999914, 175827.309999857, 175822.737000075, 175806.000000026, 175893.000000161, 175942.527000129, 175924.696000164, 175962.000000067, 
175981.907000032, 175990.641000076, 176036.344000001, 176109.167999951, 176163.56600002, 176282.324000043, 176277.422999892, 176153.834999867, 176168.000000005, 176110.999999974, 176176.216999935, 176186.086999885, 176209.000000202, 176272.638999858, 176387.5609999, 176517.982999886, 176548.44, 176517.208999966, 176327.319999804, 176320.446999943, 176270.363000068)))",0.03139049262419951,1,8
E01004001,Southwark 026B,194375.85538342688,42.87,40.73,36.15,37.974,35.784,1726,1774,1808,1808,1794,1776,1854,1857,1843,1836,1780,1782,7.924484,8.427882,8.26902,7.038438,8.407685,6.895743,8.157083,8.618223,8.634373,2,2,2,2,2,2,2,2,2,426875,447500,5049.974303162749,13107.973602601714,0,5049.974303162749,8.157083,36.15,"list(list(c(535279.999999864, 535263.112000047, 535137.757999997, 535165.000000125, 535253.999999931, 535275.870000037, 535299.993000009, 535299.395999868, 535317.999999864, 535370.711999989, 535466.809, 535437.151999938, 535414.047000032, 535350.804000058, 535158.000000032, 535105.270999864, 535025.94000012, 535017.044000094, 534825.189, 534925.575999976, 534926.999999854, 535023.593000035, 535030.176000062, 535154.668999967, 535192.241999932, 535279.999999864, 175961.999999891, 175924.696000074, 
175942.527000033, 175892.999999984, 175805.999999975, 175822.73699998, 175827.309999919, 175735.801999927, 175718.999000002, 175776.33199998, 175718.736999929, 175543.896000025, 175437.19499985, 175362.942999863, 175547.311999983, 175517.3130001, 175522.990999928, 175526.243999854, 175711.156000093, 175761.153999911, 175770.527000134, 175887.879000102, 175892.451000077, 175990.641000137, 175981.906999858, 175961.999999891)))",0.03100606474432403,1,34
E01004002,Southwark 029A,334696.5072468417,26.95,27.07,26.12,22.485,17.58,1613,1626,1794,1835,1912,1912,1885,1882,1875,1866,1683,1664,5.736434,7.022344,7.92082,6.2325,7.243907,6.522684,7.933266,7.619475,7.70149,2,2,2,2,2,2,2,2,2,561650,573500,5550.459775130821,12804.67685735902,0,5550.459775130821,7.933266,26.12,"list(list(c(535663.694999958, 535648.063000032, 535751.546999803, 535819.230999793, 535886.784999898, 535891.310999796, 535896.98300002, 535901.868999994, 535900.429000203, 535888.920000019, 535843.625000165, 535814.275000118, 535666.226000163, 535640.549000019, 535615.713000038, 535581.517999784, 535418.09300007, 535350.804000006, 535414.047000102, 535437.151999763, 535466.808999775, 535370.712000091, 535529.178999816, 535581.694999863, 535617.77399983, 535663.694999958, 175913.449999957, 175873.234000103, 
175797.946999981, 175713.056000118, 175506.213999835, 175470.022000086, 175388.176000052, 175230.998000015, 175195.730999763, 175112.359999935, 174918.891, 174948.21999983, 175096.984999821, 175121.389999869, 175145.489999752, 175176.568000163, 175317.047000036, 175362.942999831, 175437.19500012, 175543.896000039, 175718.737000216, 175776.331999752, 175930.634999967, 175900.453000144, 175943.117, 175913.449999957)))",0.025191500431146242,1,13
E01004006,Southwark 023E,149326.72814166918,38.28,35.03,34.23,30.636,26.449,1971,2037,2182,2279,2219,2217,2228,2181,2214,2178,1864,1846,15.73898,16.562484,16.3159,13.124615,15.829794,13.435763,15.663025,17.575104,18.806726,4,4,4,3,4,3,4,4,4,387278.5,514500,4788.14923325165,13017.429097641752,0,4788.14923325165,15.663025,34.23,"list(list(c(534905.927000073, 534947.72400014, 535018.000000031, 534999.385000012, 535017.653999968, 535078.83400001, 535107.936999985, 535096.999999874, 535133.820000097, 535183.22799993, 535223.487999952, 535273.935000103, 535257.000000103, 535164.00000001, 535139.498999887, 535085.504000084, 535051.520999873, 535081.217000106, 535000.136000124, 534884.530999934, 534764.926000137, 534802.7260001, 534809.754999857, 534750.525999898, 534793.642999873, 534797.279000032, 534858.716000092, 534875.560000082, 
534938.299000075, 534963.738999926, 534905.927000073, 176587.147000073, 176546.958000121, 176601.000000125, 176536.865000096, 176423.128000132, 176316.328999916, 176323.493000084, 176360.000000102, 176377.114000027, 176400.214000054, 176374.619000147, 176176.217000005, 176110.999999979, 176168.000000064, 176153.834999937, 176277.423000086, 176282.324000097, 176163.565999889, 176109.168, 176170.896000064, 176240.377999868, 176256.260999929, 176303.998000028, 176454.634999977, 176481.961999865, 176524.790000096, 
176620.051000085, 176699.984000059, 176700.961, 176661.834999939, 176587.147000073)))",0.029996825460702214,1,11
